State,Rating_Area,County,COUNTY2,Zip,Market_Geographic_Rating_Divisions,FFM,State_Abb,FIPS
Arkansas,Rating Area 1,Pulaski,PULASKI,NULL,Counties,0,AR,05119
Arkansas,Rating Area 1,Yell,YELL,NULL,Counties,0,AR,05149
Arkansas,Rating Area 1,Conway,CONWAY,NULL,Counties,0,AR,05029
Arkansas,Rating Area 1,Perry,PERRY,NULL,Counties,0,AR,05105
Arkansas,Rating Area 1,Saline,SALINE,NULL,Counties,0,AR,05125
Arkansas,Rating Area 1,Faulkner,FAULKNER,NULL,Counties,0,AR,05045
Arkansas,Rating Area 1,Pope,POPE,NULL,Counties,0,AR,05115
Arkansas,Rating Area 1,Van Buren,VAN BUREN,NULL,Counties,0,AR,05141
Arkansas,Rating Area 1,Grant,GRANT,NULL,Counties,0,AR,05053
Arkansas,Rating Area 1,Prairie,PRAIRIE,NULL,Counties,0,AR,05117
Arkansas,Rating Area 1,White,WHITE,NULL,Counties,0,AR,05145
Arkansas,Rating Area 2,Clay,CLAY,NULL,Counties,0,AR,05021
Arkansas,Rating Area 2,Fulton,FULTON,NULL,Counties,0,AR,05049
Arkansas,Rating Area 2,Jackson,JACKSON,NULL,Counties,0,AR,05067
Arkansas,Rating Area 2,Randolph,RANDOLPH,NULL,Counties,0,AR,05121
Arkansas,Rating Area 2,Woodruff,WOODRUFF,NULL,Counties,0,AR,05147
Arkansas,Rating Area 2,Craighead,CRAIGHEAD,NULL,Counties,0,AR,05031
Arkansas,Rating Area 2,Greene,GREENE,NULL,Counties,0,AR,05055
Arkansas,Rating Area 2,Lawrence,LAWRENCE,NULL,Counties,0,AR,05075
Arkansas,Rating Area 2,Sharp,SHARP,NULL,Counties,0,AR,05135
Arkansas,Rating Area 2,Crittenden,CRITTENDEN,NULL,Counties,0,AR,05035
Arkansas,Rating Area 2,Independence,INDEPENDENCE,NULL,Counties,0,AR,05063
Arkansas,Rating Area 2,Mississippi,MISSISSIPPI,NULL,Counties,0,AR,05093
Arkansas,Rating Area 2,St. Francis,ST. FRANCIS,NULL,Counties,0,AR,05123
Arkansas,Rating Area 2,Cross,CROSS,NULL,Counties,0,AR,05037
Arkansas,Rating Area 2,Izard,IZARD,NULL,Counties,0,AR,05065
Arkansas,Rating Area 2,Poinsett,POINSETT,NULL,Counties,0,AR,05111
Arkansas,Rating Area 2,Stone,STONE,NULL,Counties,0,AR,05137
Arkansas,Rating Area 3,Baxter,BAXTER,NULL,Counties,0,AR,05005
Arkansas,Rating Area 3,Madison,MADISON,NULL,Counties,0,AR,05087
Arkansas,Rating Area 3,Washington,WASHINGTON,NULL,Counties,0,AR,05143
Arkansas,Rating Area 3,Benton,BENTON,NULL,Counties,0,AR,05007
Arkansas,Rating Area 3,Marion,MARION,NULL,Counties,0,AR,05089
Arkansas,Rating Area 3,Boone,BOONE,NULL,Counties,0,AR,05009
Arkansas,Rating Area 3,Newton,NEWTON,NULL,Counties,0,AR,05101
Arkansas,Rating Area 3,Carroll,CARROLL,NULL,Counties,0,AR,05015
Arkansas,Rating Area 3,Searcy,SEARCY,NULL,Counties,0,AR,05129
Arkansas,Rating Area 4,Clark,CLARK,NULL,Counties,0,AR,05019
Arkansas,Rating Area 4,Pike,PIKE,NULL,Counties,0,AR,05109
Arkansas,Rating Area 4,Garland,GARLAND,NULL,Counties,0,AR,05051
Arkansas,Rating Area 4,Hot Spring,HOT SPRING,NULL,Counties,0,AR,05059
Arkansas,Rating Area 4,Montgomery,MONTGOMERY,NULL,Counties,0,AR,05097
Arkansas,Rating Area 5,Arkansas,ARKANSAS,NULL,Counties,0,AR,05001
Arkansas,Rating Area 5,Cleveland,CLEVELAND,NULL,Counties,0,AR,05025
Arkansas,Rating Area 5,Jefferson,JEFFERSON,NULL,Counties,0,AR,05069
Arkansas,Rating Area 5,Phillips,PHILLIPS,NULL,Counties,0,AR,05107
Arkansas,Rating Area 5,Ashley,ASHLEY,NULL,Counties,0,AR,05003
Arkansas,Rating Area 5,Dallas,DALLAS,NULL,Counties,0,AR,05039
Arkansas,Rating Area 5,Lee,LEE,NULL,Counties,0,AR,05077
Arkansas,Rating Area 5,Bradley,BRADLEY,NULL,Counties,0,AR,05011
Arkansas,Rating Area 5,Desha,DESHA,NULL,Counties,0,AR,05041
Arkansas,Rating Area 5,Lincoln,LINCOLN,NULL,Counties,0,AR,05079
Arkansas,Rating Area 5,Chicot,CHICOT,NULL,Counties,0,AR,05017
Arkansas,Rating Area 5,Drew,DREW,NULL,Counties,0,AR,05043
Arkansas,Rating Area 5,Monroe,MONROE,NULL,Counties,0,AR,05095
Arkansas,Rating Area 6,Calhoun,CALHOUN,NULL,Counties,0,AR,05013
Arkansas,Rating Area 6,Lafayette,LAFAYETTE,NULL,Counties,0,AR,05073
Arkansas,Rating Area 6,Ouachita,OUACHITA,NULL,Counties,0,AR,05103
Arkansas,Rating Area 6,Columbia,COLUMBIA,NULL,Counties,0,AR,05027
Arkansas,Rating Area 6,Little River,LITTLE RIVER,NULL,Counties,0,AR,05081
Arkansas,Rating Area 6,Sevier,SEVIER,NULL,Counties,0,AR,05133
Arkansas,Rating Area 6,Hempstead,HEMPSTEAD,NULL,Counties,0,AR,05057
Arkansas,Rating Area 6,Miller,MILLER,NULL,Counties,0,AR,05091
Arkansas,Rating Area 6,Union,UNION,NULL,Counties,0,AR,05139
Arkansas,Rating Area 6,Howard,HOWARD,NULL,Counties,0,AR,05061
Arkansas,Rating Area 6,Nevada,NEVADA,NULL,Counties,0,AR,05099
Arkansas,Rating Area 7,Crawford,CRAWFORD,NULL,Counties,0,AR,05033
Arkansas,Rating Area 7,Scott,SCOTT,NULL,Counties,0,AR,05127
Arkansas,Rating Area 7,Polk,POLK,NULL,Counties,0,AR,05113
Arkansas,Rating Area 7,Franklin,FRANKLIN,NULL,Counties,0,AR,05047
Arkansas,Rating Area 7,Sebastian,SEBASTIAN,NULL,Counties,0,AR,05131
Arkansas,Rating Area 7,Johnson,JOHNSON,NULL,Counties,0,AR,05071
Arkansas,Rating Area 7,Logan,LOGAN,NULL,Counties,0,AR,05083
California,Rating Area 1,Alpine,ALPINE,NULL,Combination,0,CA,06003
California,Rating Area 1,Del Norte,DEL NORTE,NULL,Combination,0,CA,06015
California,Rating Area 1,Siskiyou,SISKIYOU,NULL,Combination,0,CA,06093
California,Rating Area 1,Modoc,MODOC,NULL,Combination,0,CA,06049
California,Rating Area 1,Lassen,LASSEN,NULL,Combination,0,CA,06035
California,Rating Area 1,Shasta,SHASTA,NULL,Combination,0,CA,06089
California,Rating Area 1,Trinity,TRINITY,NULL,Combination,0,CA,06105
California,Rating Area 1,Humboldt,HUMBOLDT,NULL,Combination,0,CA,06023
California,Rating Area 1,Tehama,TEHAMA,NULL,Combination,0,CA,06103
California,Rating Area 1,Plumas,PLUMAS,NULL,Combination,0,CA,06063
California,Rating Area 1,Nevada,NEVADA,NULL,Combination,0,CA,06057
California,Rating Area 1,Sierra,SIERRA,NULL,Combination,0,CA,06091
California,Rating Area 1,Mendocino,MENDOCINO,NULL,Combination,0,CA,06045
California,Rating Area 1,Lake,LAKE,NULL,Combination,0,CA,06033
California,Rating Area 1,Butte,BUTTE,NULL,Combination,0,CA,06007
California,Rating Area 1,Glenn,GLENN,NULL,Combination,0,CA,06021
California,Rating Area 1,Sutter,SUTTER,NULL,Combination,0,CA,06101
California,Rating Area 1,Yuba,YUBA,NULL,Combination,0,CA,06115
California,Rating Area 1,Colusa,COLUSA,NULL,Combination,0,CA,06011
California,Rating Area 1,Amador,AMADOR,NULL,Combination,0,CA,06005
California,Rating Area 1,Calaveras,CALAVERAS,NULL,Combination,0,CA,06009
California,Rating Area 1,Tuolumne,TUOLUMNE,NULL,Combination,0,CA,06109
California,Rating Area 2,Napa,NAPA,NULL,Combination,0,CA,06055
California,Rating Area 2,Sonoma,SONOMA,NULL,Combination,0,CA,06097
California,Rating Area 2,Solano,SOLANO,NULL,Combination,0,CA,06095
California,Rating Area 2,Marin,MARIN,NULL,Combination,0,CA,06041
California,Rating Area 3,Sacramento,SACRAMENTO,NULL,Combination,0,CA,06067
California,Rating Area 3,Placer,PLACER,NULL,Combination,0,CA,06061
California,Rating Area 3,El Dorado,EL DORADO,NULL,Combination,0,CA,06017
California,Rating Area 3,Yolo,YOLO,NULL,Combination,0,CA,06113
California,Rating Area 4,San Francisco,SAN FRANCISCO,NULL,Combination,0,CA,06075
California,Rating Area 5,Contra Costa,CONTRA COSTA,NULL,Combination,0,CA,06013
California,Rating Area 6,Alameda,ALAMEDA,NULL,Combination,0,CA,06001
California,Rating Area 7,Santa Clara,SANTA CLARA,NULL,Combination,0,CA,06085
California,Rating Area 8,San Mateo,SAN MATEO,NULL,Combination,0,CA,06081
California,Rating Area 9,Santa Cruz,SANTA CRUZ,NULL,Combination,0,CA,06087
California,Rating Area 9,Monterey,MONTEREY,NULL,Combination,0,CA,06053
California,Rating Area 9,San Benito,SAN BENITO,NULL,Combination,0,CA,06069
California,Rating Area 10,San Joaquin,SAN JOAQUIN,NULL,Combination,0,CA,06077
California,Rating Area 10,Stanislaus,STANISLAUS,NULL,Combination,0,CA,06099
California,Rating Area 10,Merced,MERCED,NULL,Combination,0,CA,06047
California,Rating Area 10,Mariposa,MARIPOSA,NULL,Combination,0,CA,06043
California,Rating Area 10,Tulare,TULARE,NULL,Combination,0,CA,06107
California,Rating Area 11,Madera,MADERA,NULL,Combination,0,CA,06039
California,Rating Area 11,Fresno,FRESNO,NULL,Combination,0,CA,06019
California,Rating Area 11,Kings,KINGS,NULL,Combination,0,CA,06031
California,Rating Area 12,San Luis Obispo,SAN LUIS OBISPO,NULL,Combination,0,CA,06079
California,Rating Area 12,Santa Barbara,SANTA BARBARA,NULL,Combination,0,CA,06083
California,Rating Area 12,Ventura,VENTURA,NULL,Combination,0,CA,06111
California,Rating Area 13,Mono,MONO,NULL,Combination,0,CA,06051
California,Rating Area 13,Inyo,INYO,NULL,Combination,0,CA,06027
California,Rating Area 13,Imperial,IMPERIAL,NULL,Combination,0,CA,06025
California,Rating Area 14,Kern,KERN,NULL,Combination,0,CA,06029
California,Rating Area 15,NULL,NULL,906 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,907 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,908 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,910 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,911 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,912 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,915 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,917 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,918 (only within LA County),Combination,0,CA,NULL
California,Rating Area 15,NULL,NULL,935 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,900 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,902 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,903 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,904 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,905 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,913 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,914 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,916 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,923 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,928 (only within LA County),Combination,0,CA,NULL
California,Rating Area 16,NULL,NULL,932 (only within LA County),Combination,0,CA,NULL
California,Rating Area 17,San Bernadino,SAN BERNADINO,NULL,Combination,0,CA,#N/A
California,Rating Area 17,Riverside,RIVERSIDE,NULL,Combination,0,CA,06065
California,Rating Area 18,Orange,ORANGE,NULL,Combination,0,CA,06059
California,Rating Area 19,San Diego,SAN DIEGO,NULL,Combination,0,CA,06073
Colorado,Rating Area 1,Boulder,BOULDER,NULL,Counties,0,CO,08013
Colorado,Rating Area 2,El Paso,EL PASO,NULL,Counties,0,CO,08041
Colorado,Rating Area 2,Teller,TELLER,NULL,Counties,0,CO,08119
Colorado,Rating Area 3,Adams,ADAMS,NULL,Counties,0,CO,08001
Colorado,Rating Area 3,Arapahoe,ARAPAHOE,NULL,Counties,0,CO,08005
Colorado,Rating Area 3,Broomfield,BROOMFIELD,NULL,Counties,0,CO,08014
Colorado,Rating Area 3,Clear Creek,CLEAR CREEK,NULL,Counties,0,CO,08019
Colorado,Rating Area 3,Denver,DENVER,NULL,Counties,0,CO,08031
Colorado,Rating Area 3,Douglas,DOUGLAS,NULL,Counties,0,CO,08035
Colorado,Rating Area 3,Elbert,ELBERT,NULL,Counties,0,CO,08039
Colorado,Rating Area 3,Gilpin,GILPIN,NULL,Counties,0,CO,08047
Colorado,Rating Area 3,Jefferson,JEFFERSON,NULL,Counties,0,CO,08059
Colorado,Rating Area 3,Park,PARK,NULL,Counties,0,CO,08093
Colorado,Rating Area 4,Larimer,LARIMER,NULL,Counties,0,CO,08069
Colorado,Rating Area 5,Mesa,MESA,NULL,Counties,0,CO,08077
Colorado,Rating Area 6,Weld,WELD,NULL,Counties,0,CO,08123
Colorado,Rating Area 7,Pueblo,PUEBLO,NULL,Counties,0,CO,08101
Colorado,Rating Area 8,Alamosa,ALAMOSA,NULL,Counties,0,CO,08003
Colorado,Rating Area 8,Baca,BACA,NULL,Counties,0,CO,08009
Colorado,Rating Area 8,Bent,BENT,NULL,Counties,0,CO,08011
Colorado,Rating Area 8,Chaffee,CHAFFEE,NULL,Counties,0,CO,08015
Colorado,Rating Area 8,Cheyenne,CHEYENNE,NULL,Counties,0,CO,08017
Colorado,Rating Area 8,Conejos,CONEJOS,NULL,Counties,0,CO,08021
Colorado,Rating Area 8,Costilla,COSTILLA,NULL,Counties,0,CO,08023
Colorado,Rating Area 8,Crowley,CROWLEY,NULL,Counties,0,CO,08025
Colorado,Rating Area 8,Custer,CUSTER,NULL,Counties,0,CO,08027
Colorado,Rating Area 8,Fremont,FREMONT,NULL,Counties,0,CO,08043
Colorado,Rating Area 8,Huerfano,HUERFANO,NULL,Counties,0,CO,08055
Colorado,Rating Area 8,Kiowa,KIOWA,NULL,Counties,0,CO,08061
Colorado,Rating Area 8,Kit Carson,KIT CARSON,NULL,Counties,0,CO,08063
Colorado,Rating Area 8,Las Animas,LAS ANIMAS,NULL,Counties,0,CO,08071
Colorado,Rating Area 8,Lincoln,LINCOLN,NULL,Counties,0,CO,08073
Colorado,Rating Area 8,Logan,LOGAN,NULL,Counties,0,CO,08075
Colorado,Rating Area 8,Mineral,MINERAL,NULL,Counties,0,CO,08079
Colorado,Rating Area 8,Morgan,MORGAN,NULL,Counties,0,CO,08087
Colorado,Rating Area 8,Otero,OTERO,NULL,Counties,0,CO,08089
Colorado,Rating Area 8,Phillips,PHILLIPS,NULL,Counties,0,CO,08095
Colorado,Rating Area 8,Prowers,PROWERS,NULL,Counties,0,CO,08099
Colorado,Rating Area 8,Rio Grande,RIO GRANDE,NULL,Counties,0,CO,08105
Colorado,Rating Area 8,Saguache,SAGUACHE,NULL,Counties,0,CO,08109
Colorado,Rating Area 8,Sedgwick,SEDWICK,NULL,Counties,0,CO,08115
Colorado,Rating Area 8,Washington,WASHINGTON,NULL,Counties,0,CO,08121
Colorado,Rating Area 8,Yuma,YUMA,NULL,Counties,0,CO,08125
Colorado,Rating Area 9,Archuleta,ARCHULETA,NULL,Counties,0,CO,08007
Colorado,Rating Area 9,Delta,DELTA,NULL,Counties,0,CO,08029
Colorado,Rating Area 9,Dolores,DOLORES,NULL,Counties,0,CO,08033
Colorado,Rating Area 9,Eagle,EAGLE,NULL,Counties,0,CO,08037
Colorado,Rating Area 9,Garfield,GARFIELD,NULL,Counties,0,CO,08045
Colorado,Rating Area 9,Grand,GRAND,NULL,Counties,0,CO,08049
Colorado,Rating Area 9,Gunnison,GUNNISON,NULL,Counties,0,CO,08051
Colorado,Rating Area 9,Hinsdale,HINSDALE,NULL,Counties,0,CO,08053
Colorado,Rating Area 9,Jackson,JACKSON,NULL,Counties,0,CO,08057
Colorado,Rating Area 9,La Plata,LA PLATA,NULL,Counties,0,CO,08067
Colorado,Rating Area 9,Lake,LAKE,NULL,Counties,0,CO,08065
Colorado,Rating Area 9,Moffat,MOFFAT,NULL,Counties,0,CO,08081
Colorado,Rating Area 9,Montezuma,MONTEZUMA,NULL,Counties,0,CO,08083
Colorado,Rating Area 9,Montrose,MONTROSE,NULL,Counties,0,CO,08085
Colorado,Rating Area 9,Ouray,OURAY,NULL,Counties,0,CO,08091
Colorado,Rating Area 9,Pitkin,PITKIN,NULL,Counties,0,CO,08097
Colorado,Rating Area 9,Rio Blanco,RIO BLANCO,NULL,Counties,0,CO,08103
Colorado,Rating Area 9,Routt,ROUTT,NULL,Counties,0,CO,08107
Colorado,Rating Area 9,San Juan,SAN JUAN,NULL,Counties,0,CO,08111
Colorado,Rating Area 9,San Miguel,SAN MIGUEL,NULL,Counties,0,CO,08113
Colorado,Rating Area 9,Summit,SUMMIT,NULL,Counties,0,CO,08117
Connecticut,Rating Area 1,Fairfield,FAIRFIELD,NULL,Counties,0,CT,09001
Connecticut,Rating Area 2,Hartford,HARTFORD,NULL,Counties,0,CT,09003
Connecticut,Rating Area 3,Litchfield,LITCHFIELD,NULL,Counties,0,CT,09005
Connecticut,Rating Area 4,Middlesex,MIDDLESEX,NULL,Counties,0,CT,09007
Connecticut,Rating Area 5,New Haven,NEW HAVEN,NULL,Counties,0,CT,09009
Connecticut,Rating Area 6,New London,NEW LONDON,NULL,Counties,0,CT,09011
Connecticut,Rating Area 7,Tolland,TOLLAND,NULL,Counties,0,CT,09013
Connecticut,Rating Area 8,Windham,WINDHAM,NULL,Counties,0,CT,09015
Delaware,Rating Area 1,Kent,KENT,NULL,Counties,1,DE,10001
Delaware,Rating Area 1,New Castle,NEW CASTLE,NULL,Counties,1,DE,10003
Delaware,Rating Area 1,Sussex,SUSSEX,NULL,Counties,1,DE,10005
District of Columbia,Rating Area 1,District of Columbia,DISTRICT OF COLUMBIA,NULL,Counties,0,DC,11001
Florida,Rating Area 1,Alachua,ALACHUA,NULL,Counties,1,FL,12001
Florida,Rating Area 2,Baker,BAKER,NULL,Counties,1,FL,12003
Florida,Rating Area 3,Bay,BAY,NULL,Counties,1,FL,12005
Florida,Rating Area 4,Bradford,BRADFORD,NULL,Counties,1,FL,12007
Florida,Rating Area 5,Brevard,BREVARD,NULL,Counties,1,FL,12009
Florida,Rating Area 6,Broward,BROWARD,NULL,Counties,1,FL,12011
Florida,Rating Area 7,Calhoun,CALHOUN,NULL,Counties,1,FL,12013
Florida,Rating Area 8,Charlotte,CHARLOTTE,NULL,Counties,1,FL,12015
Florida,Rating Area 9,Citrus,CITRUS,NULL,Counties,1,FL,12017
Florida,Rating Area 10,Clay,CLAY,NULL,Counties,1,FL,12019
Florida,Rating Area 11,Collier,COLLIER,NULL,Counties,1,FL,12021
Florida,Rating Area 12,Columbia,COLUMBIA,NULL,Counties,1,FL,12023
Florida,Rating Area 13,Desoto,DE SOTO,NULL,Counties,1,FL,12027
Florida,Rating Area 14,Dixie,DIXIE,NULL,Counties,1,FL,12029
Florida,Rating Area 15,Duval,DUVAL,NULL,Counties,1,FL,12031
Florida,Rating Area 16,Escambia,ESCAMBIA,NULL,Counties,1,FL,12033
Florida,Rating Area 17,Flagler,FLAGLER,NULL,Counties,1,FL,12035
Florida,Rating Area 18,Franklin,FRANKLIN,NULL,Counties,1,FL,12037
Florida,Rating Area 19,Gadsden,GADSDEN,NULL,Counties,1,FL,12039
Florida,Rating Area 20,Gilchrist,GILCHRIST,NULL,Counties,1,FL,12041
Florida,Rating Area 21,Glades,GLADES,NULL,Counties,1,FL,12043
