SRVC_CD,SRVC_TYPE_CD,SRVC_CD_EFCTV_STRT_DT,SRVC_CD_EFCTV_END_DT,CPT_HCPCSELGBL_RISKADJSTMT_IND
11307,03,2014-01-01,9999-12-31,Y
11308,03,2014-01-01,9999-12-31,Y
11310,03,2014-01-01,9999-12-31,Y
11311,03,2014-01-01,9999-12-31,Y
11312,03,2014-01-01,9999-12-31,Y
11313,03,2014-01-01,9999-12-31,Y
11400,03,2014-01-01,9999-12-31,Y
11401,03,2014-01-01,9999-12-31,Y
11402,03,2014-01-01,9999-12-31,Y
11403,03,2014-01-01,9999-12-31,Y
11404,03,2014-01-01,9999-12-31,Y
11406,03,2014-01-01,9999-12-31,Y
11420,03,2014-01-01,9999-12-31,Y
11421,03,2014-01-01,9999-12-31,Y
11422,03,2014-01-01,9999-12-31,Y
11423,03,2014-01-01,9999-12-31,Y
11424,03,2014-01-01,9999-12-31,Y
11426,03,2014-01-01,9999-12-31,Y
11440,03,2014-01-01,9999-12-31,Y
11441,03,2014-01-01,9999-12-31,Y
11442,03,2014-01-01,9999-12-31,Y
11443,03,2014-01-01,9999-12-31,Y
11444,03,2014-01-01,9999-12-31,Y
11446,03,2014-01-01,9999-12-31,Y
11450,03,2014-01-01,9999-12-31,Y
11451,03,2014-01-01,9999-12-31,Y
11462,03,2014-01-01,9999-12-31,Y
11463,03,2014-01-01,9999-12-31,Y
11470,03,2014-01-01,9999-12-31,Y
11471,03,2014-01-01,9999-12-31,Y
11600,03,2014-01-01,9999-12-31,Y
11601,03,2014-01-01,9999-12-31,Y
11602,03,2014-01-01,9999-12-31,Y
11603,03,2014-01-01,9999-12-31,Y
11604,03,2014-01-01,9999-12-31,Y
11606,03,2014-01-01,9999-12-31,Y
11620,03,2014-01-01,9999-12-31,Y
11621,03,2014-01-01,9999-12-31,Y
11622,03,2014-01-01,9999-12-31,Y
11623,03,2014-01-01,9999-12-31,Y
11624,03,2014-01-01,9999-12-31,Y
11626,03,2014-01-01,9999-12-31,Y
11640,03,2014-01-01,9999-12-31,Y
11641,03,2014-01-01,9999-12-31,Y
11642,03,2014-01-01,9999-12-31,Y
11643,03,2014-01-01,9999-12-31,Y
11644,03,2014-01-01,9999-12-31,Y
11646,03,2014-01-01,9999-12-31,Y
11719,03,2014-01-01,9999-12-31,Y
11720,03,2014-01-01,9999-12-31,Y
11721,03,2014-01-01,9999-12-31,Y
11730,03,2014-01-01,9999-12-31,Y
11732,03,2014-01-01,9999-12-31,N
11740,03,2014-01-01,9999-12-31,Y
11750,03,2014-01-01,9999-12-31,Y
11752,03,2014-01-01,2016-12-31,N
11755,03,2014-01-01,9999-12-31,N
11760,03,2014-01-01,9999-12-31,Y
11762,03,2014-01-01,9999-12-31,Y
11765,03,2014-01-01,9999-12-31,Y
11770,03,2014-01-01,9999-12-31,Y
11771,03,2014-01-01,9999-12-31,Y
11772,03,2014-01-01,9999-12-31,Y
11900,03,2014-01-01,9999-12-31,Y
11901,03,2014-01-01,9999-12-31,Y
11920,03,2014-01-01,9999-12-31,Y
11921,03,2014-01-01,9999-12-31,Y
11922,03,2014-01-01,9999-12-31,N
11950,03,2014-01-01,9999-12-31,Y
11951,03,2014-01-01,9999-12-31,Y
11952,03,2014-01-01,9999-12-31,Y
11954,03,2014-01-01,9999-12-31,Y
11960,03,2014-01-01,9999-12-31,Y
11970,03,2014-01-01,9999-12-31,Y
11971,03,2014-01-01,9999-12-31,Y
11975,03,2014-01-01,2015-12-31,N
11976,03,2014-01-01,9999-12-31,Y
11977,03,2014-01-01,2015-12-31,N
11980,03,2014-01-01,9999-12-31,Y
11981,03,2014-01-01,9999-12-31,Y
11982,03,2014-01-01,9999-12-31,Y
21143,03,2014-01-01,9999-12-31,Y
21145,03,2014-01-01,9999-12-31,Y
21146,03,2014-01-01,9999-12-31,Y
21147,03,2014-01-01,9999-12-31,Y
21150,03,2014-01-01,9999-12-31,Y
21151,03,2014-01-01,9999-12-31,Y
21154,03,2014-01-01,9999-12-31,Y
21155,03,2014-01-01,9999-12-31,Y
21159,03,2014-01-01,9999-12-31,Y
21160,03,2014-01-01,9999-12-31,Y
21172,03,2014-01-01,9999-12-31,Y
21175,03,2014-01-01,9999-12-31,Y
21179,03,2014-01-01,9999-12-31,Y
21180,03,2014-01-01,9999-12-31,Y
21181,03,2014-01-01,9999-12-31,Y
21182,03,2014-01-01,9999-12-31,Y
21183,03,2014-01-01,9999-12-31,Y
21184,03,2014-01-01,9999-12-31,Y
21188,03,2014-01-01,9999-12-31,Y
21193,03,2014-01-01,9999-12-31,Y
21194,03,2014-01-01,9999-12-31,Y
21195,03,2014-01-01,9999-12-31,Y
21196,03,2014-01-01,9999-12-31,Y
21198,03,2014-01-01,9999-12-31,Y
21199,03,2014-01-01,9999-12-31,Y
21206,03,2014-01-01,9999-12-31,Y
21208,03,2014-01-01,9999-12-31,Y
21209,03,2014-01-01,9999-12-31,Y
21210,03,2014-01-01,9999-12-31,Y
21215,03,2014-01-01,9999-12-31,Y
21230,03,2014-01-01,9999-12-31,N
21235,03,2014-01-01,9999-12-31,Y
21240,03,2014-01-01,9999-12-31,Y
21242,03,2014-01-01,9999-12-31,Y
21243,03,2014-01-01,9999-12-31,Y
21244,03,2014-01-01,9999-12-31,Y
21245,03,2014-01-01,9999-12-31,Y
21246,03,2014-01-01,9999-12-31,Y
21247,03,2014-01-01,9999-12-31,Y
21248,03,2014-01-01,9999-12-31,Y
21249,03,2014-01-01,9999-12-31,Y
21255,03,2014-01-01,9999-12-31,Y
21256,03,2014-01-01,9999-12-31,Y
21260,03,2014-01-01,9999-12-31,Y
21261,03,2014-01-01,9999-12-31,Y
21263,03,2014-01-01,9999-12-31,Y
21267,03,2014-01-01,9999-12-31,Y
21268,03,2014-01-01,9999-12-31,Y
21270,03,2014-01-01,9999-12-31,Y
21275,03,2014-01-01,9999-12-31,Y
21280,03,2014-01-01,9999-12-31,Y
21282,03,2014-01-01,9999-12-31,Y
21295,03,2014-01-01,9999-12-31,Y
21296,03,2014-01-01,9999-12-31,Y
21299,03,2014-01-01,9999-12-31,Y
21310,03,2014-01-01,2021-12-31,N
21315,03,2014-01-01,9999-12-31,Y
21320,03,2014-01-01,9999-12-31,Y
21325,03,2014-01-01,9999-12-31,Y
21330,03,2014-01-01,9999-12-31,Y
21335,03,2014-01-01,9999-12-31,Y
21336,03,2014-01-01,9999-12-31,Y
21337,03,2014-01-01,9999-12-31,Y
21338,03,2014-01-01,9999-12-31,Y
21339,03,2014-01-01,9999-12-31,Y
21340,03,2014-01-01,9999-12-31,Y
21343,03,2014-01-01,9999-12-31,Y
21344,03,2014-01-01,9999-12-31,Y
21345,03,2014-01-01,9999-12-31,Y
21346,03,2014-01-01,9999-12-31,Y
21347,03,2014-01-01,9999-12-31,Y
21348,03,2014-01-01,9999-12-31,Y
21355,03,2014-01-01,9999-12-31,Y
21356,03,2014-01-01,9999-12-31,Y
21360,03,2014-01-01,9999-12-31,Y
21365,03,2014-01-01,9999-12-31,Y
21366,03,2014-01-01,9999-12-31,Y
21385,03,2014-01-01,9999-12-31,Y
21386,03,2014-01-01,9999-12-31,Y
21387,03,2014-01-01,9999-12-31,Y
21390,03,2014-01-01,9999-12-31,Y
21395,03,2014-01-01,9999-12-31,Y
21400,03,2014-01-01,9999-12-31,Y
21401,03,2014-01-01,9999-12-31,Y
21406,03,2014-01-01,9999-12-31,Y
21407,03,2014-01-01,9999-12-31,Y
21408,03,2014-01-01,9999-12-31,Y
21421,03,2014-01-01,9999-12-31,Y
21422,03,2014-01-01,9999-12-31,Y
21423,03,2014-01-01,9999-12-31,Y
21431,03,2014-01-01,9999-12-31,Y
21432,03,2014-01-01,9999-12-31,Y
21433,03,2014-01-01,9999-12-31,Y
21435,03,2014-01-01,9999-12-31,Y
21436,03,2014-01-01,9999-12-31,Y
21440,03,2014-01-01,9999-12-31,Y
21445,03,2014-01-01,9999-12-31,Y
21450,03,2014-01-01,9999-12-31,Y
21451,03,2014-01-01,9999-12-31,Y
21452,03,2014-01-01,9999-12-31,Y
21453,03,2014-01-01,9999-12-31,Y
21454,03,2014-01-01,9999-12-31,Y
21461,03,2014-01-01,9999-12-31,Y
21462,03,2014-01-01,9999-12-31,Y
21465,03,2014-01-01,9999-12-31,Y
21470,03,2014-01-01,9999-12-31,Y
21480,03,2014-01-01,9999-12-31,Y
21485,03,2014-01-01,9999-12-31,Y
21490,03,2014-01-01,9999-12-31,Y
21495,03,2014-01-01,2016-12-31,N
21497,03,2014-01-01,9999-12-31,Y
21499,03,2014-01-01,9999-12-31,Y
21501,03,2014-01-01,9999-12-31,Y
21502,03,2014-01-01,9999-12-31,Y
21510,03,2014-01-01,9999-12-31,Y
21550,03,2014-01-01,9999-12-31,N
21552,03,2014-01-01,9999-12-31,Y
21554,03,2014-01-01,9999-12-31,Y
21555,03,2014-01-01,9999-12-31,Y
21556,03,2014-01-01,9999-12-31,Y
21557,03,2014-01-01,9999-12-31,Y
21558,03,2014-01-01,9999-12-31,Y
21600,03,2014-01-01,9999-12-31,Y
21610,03,2014-01-01,9999-12-31,Y
21615,03,2014-01-01,9999-12-31,Y
21616,03,2014-01-01,9999-12-31,Y
21620,03,2014-01-01,9999-12-31,Y
21627,03,2014-01-01,9999-12-31,Y
21630,03,2014-01-01,9999-12-31,Y
21632,03,2014-01-01,9999-12-31,Y
21685,03,2014-01-01,9999-12-31,Y
21700,03,2014-01-01,9999-12-31,Y
21705,03,2014-01-01,9999-12-31,Y
21720,03,2014-01-01,9999-12-31,Y
21725,03,2014-01-01,9999-12-31,Y
21740,03,2014-01-01,9999-12-31,Y
21742,03,2014-01-01,9999-12-31,Y
21743,03,2014-01-01,9999-12-31,Y
21750,03,2014-01-01,9999-12-31,Y
21800,03,2014-01-01,2014-12-31,N
21805,03,2014-01-01,2015-12-31,N
21810,03,2014-01-01,2014-12-31,N
21811,03,2015-01-01,9999-12-31,Y
21812,03,2015-01-01,9999-12-31,Y
21813,03,2015-01-01,9999-12-31,Y
21820,03,2014-01-01,9999-12-31,Y
21825,03,2014-01-01,9999-12-31,Y
21899,03,2014-01-01,9999-12-31,Y
21920,03,2014-01-01,9999-12-31,N
21925,03,2014-01-01,9999-12-31,N
21930,03,2014-01-01,9999-12-31,Y
21931,03,2014-01-01,9999-12-31,Y
21932,03,2014-01-01,9999-12-31,Y
21933,03,2014-01-01,9999-12-31,Y
21935,03,2014-01-01,9999-12-31,Y
21936,03,2014-01-01,9999-12-31,Y
22010,03,2014-01-01,9999-12-31,Y
22015,03,2014-01-01,9999-12-31,Y
22100,03,2014-01-01,9999-12-31,Y
22101,03,2014-01-01,9999-12-31,Y
22102,03,2014-01-01,9999-12-31,Y
22103,03,2014-01-01,9999-12-31,N
22110,03,2014-01-01,9999-12-31,Y
22112,03,2014-01-01,9999-12-31,Y
22114,03,2014-01-01,9999-12-31,Y
22116,03,2014-01-01,9999-12-31,N
22206,03,2014-01-01,9999-12-31,Y
22207,03,2014-01-01,9999-12-31,Y
22208,03,2014-01-01,9999-12-31,N
22210,03,2014-01-01,9999-12-31,Y
22212,03,2014-01-01,9999-12-31,Y
22214,03,2014-01-01,9999-12-31,Y
22216,03,2014-01-01,9999-12-31,N
22220,03,2014-01-01,9999-12-31,Y
22222,03,2014-01-01,9999-12-31,Y
22224,03,2014-01-01,9999-12-31,Y
22226,03,2014-01-01,9999-12-31,N
22305,03,2014-01-01,2016-12-31,N
22310,03,2014-01-01,9999-12-31,Y
22315,03,2014-01-01,9999-12-31,Y
22318,03,2014-01-01,9999-12-31,Y
22319,03,2014-01-01,9999-12-31,Y
22325,03,2014-01-01,9999-12-31,Y
22326,03,2014-01-01,9999-12-31,Y
22327,03,2014-01-01,9999-12-31,Y
22328,03,2014-01-01,9999-12-31,N
22505,03,2014-01-01,9999-12-31,Y
22510,03,2015-01-01,9999-12-31,Y
22511,03,2015-01-01,9999-12-31,Y
22512,03,2015-01-01,9999-12-31,N
22513,03,2015-01-01,9999-12-31,Y
22514,03,2015-01-01,9999-12-31,Y
22515,03,2015-01-01,9999-12-31,N
22520,03,2014-01-01,2014-12-31,N
22521,03,2014-01-01,2014-12-31,N
22522,03,2014-01-01,2014-12-31,N
22523,03,2014-01-01,2014-12-31,N
22524,03,2014-01-01,2014-12-31,N
22525,03,2014-01-01,2014-12-31,N
22526,03,2014-01-01,9999-12-31,Y
22527,03,2014-01-01,9999-12-31,N
22532,03,2014-01-01,9999-12-31,Y
22533,03,2014-01-01,9999-12-31,Y
22534,03,2014-01-01,9999-12-31,N
22548,03,2014-01-01,9999-12-31,Y
22551,03,2014-01-01,9999-12-31,Y
22552,03,2014-01-01,9999-12-31,N
24342,03,2014-01-01,9999-12-31,Y
24343,03,2014-01-01,9999-12-31,Y
24344,03,2014-01-01,9999-12-31,Y
24345,03,2014-01-01,9999-12-31,Y
24346,03,2014-01-01,9999-12-31,Y
24357,03,2014-01-01,9999-12-31,Y
24358,03,2014-01-01,9999-12-31,Y
24359,03,2014-01-01,9999-12-31,Y
24360,03,2014-01-01,9999-12-31,Y
24361,03,2014-01-01,9999-12-31,Y
24362,03,2014-01-01,9999-12-31,Y
24363,03,2014-01-01,9999-12-31,Y
24365,03,2014-01-01,9999-12-31,Y
24366,03,2014-01-01,9999-12-31,Y
24370,03,2014-01-01,9999-12-31,Y
24371,03,2014-01-01,9999-12-31,Y
24400,03,2014-01-01,9999-12-31,Y
24410,03,2014-01-01,9999-12-31,Y
24420,03,2014-01-01,9999-12-31,Y
24430,03,2014-01-01,9999-12-31,Y
24435,03,2014-01-01,9999-12-31,Y
24470,03,2014-01-01,9999-12-31,Y
24495,03,2014-01-01,9999-12-31,Y
24498,03,2014-01-01,9999-12-31,Y
24500,03,2014-01-01,9999-12-31,Y
24505,03,2014-01-01,9999-12-31,Y
24515,03,2014-01-01,9999-12-31,Y
24516,03,2014-01-01,9999-12-31,Y
24530,03,2014-01-01,9999-12-31,Y
24535,03,2014-01-01,9999-12-31,Y
24538,03,2014-01-01,9999-12-31,Y
24545,03,2014-01-01,9999-12-31,Y
24546,03,2014-01-01,9999-12-31,Y
24560,03,2014-01-01,9999-12-31,Y
24565,03,2014-01-01,9999-12-31,Y
24566,03,2014-01-01,9999-12-31,Y
24575,03,2014-01-01,9999-12-31,Y
24576,03,2014-01-01,9999-12-31,Y
24577,03,2014-01-01,9999-12-31,Y
24579,03,2014-01-01,9999-12-31,Y
24582,03,2014-01-01,9999-12-31,Y
24586,03,2014-01-01,9999-12-31,Y
24587,03,2014-01-01,9999-12-31,Y
24600,03,2014-01-01,9999-12-31,Y
24605,03,2014-01-01,9999-12-31,Y
24615,03,2014-01-01,9999-12-31,Y
24620,03,2014-01-01,9999-12-31,Y
24635,03,2014-01-01,9999-12-31,Y
24640,03,2014-01-01,9999-12-31,Y
24650,03,2014-01-01,9999-12-31,Y
24655,03,2014-01-01,9999-12-31,Y
24665,03,2014-01-01,9999-12-31,Y
24666,03,2014-01-01,9999-12-31,Y
24670,03,2014-01-01,9999-12-31,Y
24675,03,2014-01-01,9999-12-31,Y
24685,03,2014-01-01,9999-12-31,Y
24800,03,2014-01-01,9999-12-31,Y
24802,03,2014-01-01,9999-12-31,Y
24900,03,2014-01-01,9999-12-31,Y
24920,03,2014-01-01,9999-12-31,Y
24925,03,2014-01-01,9999-12-31,Y
24930,03,2014-01-01,9999-12-31,Y
24931,03,2014-01-01,9999-12-31,Y
24935,03,2014-01-01,9999-12-31,Y
24940,03,2014-01-01,9999-12-31,Y
24999,03,2014-01-01,9999-12-31,Y
25000,03,2014-01-01,9999-12-31,Y
25001,03,2014-01-01,9999-12-31,Y
25020,03,2014-01-01,9999-12-31,Y
25023,03,2014-01-01,9999-12-31,Y
25024,03,2014-01-01,9999-12-31,Y
25025,03,2014-01-01,9999-12-31,Y
25028,03,2014-01-01,9999-12-31,Y
25031,03,2014-01-01,9999-12-31,Y
25035,03,2014-01-01,9999-12-31,Y
25040,03,2014-01-01,9999-12-31,Y
25065,03,2014-01-01,9999-12-31,N
25066,03,2014-01-01,9999-12-31,N
25071,03,2014-01-01,9999-12-31,Y
25073,03,2014-01-01,9999-12-31,Y
25075,03,2014-01-01,9999-12-31,Y
25076,03,2014-01-01,9999-12-31,Y
25077,03,2014-01-01,9999-12-31,Y
25078,03,2014-01-01,9999-12-31,Y
25085,03,2014-01-01,9999-12-31,Y
25100,03,2014-01-01,9999-12-31,Y
25101,03,2014-01-01,9999-12-31,Y
25105,03,2014-01-01,9999-12-31,Y
25107,03,2014-01-01,9999-12-31,Y
25109,03,2014-01-01,9999-12-31,Y
25110,03,2014-01-01,9999-12-31,Y
25111,03,2014-01-01,9999-12-31,Y
25112,03,2014-01-01,9999-12-31,Y
25115,03,2014-01-01,9999-12-31,Y
25116,03,2014-01-01,9999-12-31,Y
25118,03,2014-01-01,9999-12-31,Y
25119,03,2014-01-01,9999-12-31,Y
25120,03,2014-01-01,9999-12-31,Y
25125,03,2014-01-01,9999-12-31,Y
25126,03,2014-01-01,9999-12-31,Y
25130,03,2014-01-01,9999-12-31,Y
25135,03,2014-01-01,9999-12-31,Y
25136,03,2014-01-01,9999-12-31,Y
25145,03,2014-01-01,9999-12-31,Y
25150,03,2014-01-01,9999-12-31,Y
25151,03,2014-01-01,9999-12-31,Y
25170,03,2014-01-01,9999-12-31,Y
25210,03,2014-01-01,9999-12-31,Y
25215,03,2014-01-01,9999-12-31,Y
25230,03,2014-01-01,9999-12-31,Y
25240,03,2014-01-01,9999-12-31,Y
25246,03,2014-01-01,9999-12-31,N
25248,03,2014-01-01,9999-12-31,Y
25250,03,2014-01-01,9999-12-31,Y
25251,03,2014-01-01,9999-12-31,Y
25259,03,2014-01-01,9999-12-31,Y
25260,03,2014-01-01,9999-12-31,Y
25263,03,2014-01-01,9999-12-31,Y
25265,03,2014-01-01,9999-12-31,Y
25270,03,2014-01-01,9999-12-31,Y
25272,03,2014-01-01,9999-12-31,Y
25274,03,2014-01-01,9999-12-31,Y
25275,03,2014-01-01,9999-12-31,Y
25280,03,2014-01-01,9999-12-31,Y
25290,03,2014-01-01,9999-12-31,Y
25295,03,2014-01-01,9999-12-31,Y
25300,03,2014-01-01,9999-12-31,Y
25301,03,2014-01-01,9999-12-31,Y
25310,03,2014-01-01,9999-12-31,Y
25312,03,2014-01-01,9999-12-31,Y
25315,03,2014-01-01,9999-12-31,Y
25316,03,2014-01-01,9999-12-31,Y
25320,03,2014-01-01,9999-12-31,Y
25332,03,2014-01-01,9999-12-31,Y
25335,03,2014-01-01,9999-12-31,Y
25337,03,2014-01-01,9999-12-31,Y
25350,03,2014-01-01,9999-12-31,Y
25355,03,2014-01-01,9999-12-31,Y
25360,03,2014-01-01,9999-12-31,Y
25365,03,2014-01-01,9999-12-31,Y
25370,03,2014-01-01,9999-12-31,Y
25375,03,2014-01-01,9999-12-31,Y
25390,03,2014-01-01,9999-12-31,Y
25391,03,2014-01-01,9999-12-31,Y
25392,03,2014-01-01,9999-12-31,Y
25393,03,2014-01-01,9999-12-31,Y
25394,03,2014-01-01,9999-12-31,Y
25400,03,2014-01-01,9999-12-31,Y
25405,03,2014-01-01,9999-12-31,Y
25415,03,2014-01-01,9999-12-31,Y
25420,03,2014-01-01,9999-12-31,Y
25425,03,2014-01-01,9999-12-31,Y
25426,03,2014-01-01,9999-12-31,Y
25430,03,2014-01-01,9999-12-31,Y
25431,03,2014-01-01,9999-12-31,Y
25440,03,2014-01-01,9999-12-31,Y
25441,03,2014-01-01,9999-12-31,Y
25442,03,2014-01-01,9999-12-31,Y
25443,03,2014-01-01,9999-12-31,Y
25444,03,2014-01-01,9999-12-31,Y
25445,03,2014-01-01,9999-12-31,Y
25446,03,2014-01-01,9999-12-31,Y
25447,03,2014-01-01,9999-12-31,Y
25449,03,2014-01-01,9999-12-31,Y
25450,03,2014-01-01,9999-12-31,Y
25455,03,2014-01-01,9999-12-31,Y
25490,03,2014-01-01,9999-12-31,Y
25491,03,2014-01-01,9999-12-31,Y
25492,03,2014-01-01,9999-12-31,Y
25500,03,2014-01-01,9999-12-31,Y
25505,03,2014-01-01,9999-12-31,Y
25515,03,2014-01-01,9999-12-31,Y
25520,03,2014-01-01,9999-12-31,Y
25525,03,2014-01-01,9999-12-31,Y
25526,03,2014-01-01,9999-12-31,Y
25530,03,2014-01-01,9999-12-31,Y
25535,03,2014-01-01,9999-12-31,Y
25545,03,2014-01-01,9999-12-31,Y
25560,03,2014-01-01,9999-12-31,Y
25565,03,2014-01-01,9999-12-31,Y
25574,03,2014-01-01,9999-12-31,Y
25575,03,2014-01-01,9999-12-31,Y
25600,03,2014-01-01,9999-12-31,Y
25605,03,2014-01-01,9999-12-31,Y
25606,03,2014-01-01,9999-12-31,Y
25607,03,2014-01-01,9999-12-31,Y
25608,03,2014-01-01,9999-12-31,Y
25609,03,2014-01-01,9999-12-31,Y
25622,03,2014-01-01,9999-12-31,Y
25624,03,2014-01-01,9999-12-31,Y
25628,03,2014-01-01,9999-12-31,Y
25630,03,2014-01-01,9999-12-31,Y
25635,03,2014-01-01,9999-12-31,Y
25645,03,2014-01-01,9999-12-31,Y
25650,03,2014-01-01,9999-12-31,Y
25651,03,2014-01-01,9999-12-31,Y
25652,03,2014-01-01,9999-12-31,Y
25660,03,2014-01-01,9999-12-31,Y
25670,03,2014-01-01,9999-12-31,Y
25671,03,2014-01-01,9999-12-31,Y
25675,03,2014-01-01,9999-12-31,Y
25676,03,2014-01-01,9999-12-31,Y
25680,03,2014-01-01,9999-12-31,Y
25685,03,2014-01-01,9999-12-31,Y
25690,03,2014-01-01,9999-12-31,Y
25695,03,2014-01-01,9999-12-31,Y
25800,03,2014-01-01,9999-12-31,Y
27033,03,2014-01-01,9999-12-31,Y
27035,03,2014-01-01,9999-12-31,Y
27036,03,2014-01-01,9999-12-31,Y
27040,03,2014-01-01,9999-12-31,N
27041,03,2014-01-01,9999-12-31,N
27043,03,2014-01-01,9999-12-31,Y
27045,03,2014-01-01,9999-12-31,Y
27047,03,2014-01-01,9999-12-31,Y
27048,03,2014-01-01,9999-12-31,Y
