DGNS_CD,DGNS_CD_EFF_STRT_DT,DGNS_CD_EFF_END_DT,MIN_AGE_DGNS_INCLUDE,MAX_AGE_DGNS_EXCLUDE,CC_AGE_SPLIT_MIN_AGE_INC,CC_AGE_SPLIT_MAX_AGE_EXC,CC_SEX_SPLIT,CC_CD,ACC_CD
A5212,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5213,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5214,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5215,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5216,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5217,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5219,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A522,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A523,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5440,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A5441,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A5442,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A5443,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A5449,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A5481,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5482,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A5483,2015-10-01,2026-12-31,0,999,0,999,X,135,0
A5485,2015-10-01,2026-12-31,0,999,0,999,X,42,0
A5486,2015-10-01,2026-12-31,0,999,0,999,X,2,0
A666,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A6921,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A6923,2015-10-01,2026-12-31,0,999,0,999,X,55,0
A800,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A801,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A802,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A8030,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A8039,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A804,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A809,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A820,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A821,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A829,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A830,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A831,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A832,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A833,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A834,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A835,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A836,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A838,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A839,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A840,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A841,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A849,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A850,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A851,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A852,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A858,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A86,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A870,2015-10-01,2026-12-31,0,999,0,999,X,4,0
A871,2015-10-01,2026-12-31,0,999,0,999,X,4,0
A872,2015-10-01,2026-12-31,0,999,0,999,X,4,0
A878,2015-10-01,2026-12-31,0,999,0,999,X,4,0
A879,2015-10-01,2026-12-31,0,999,0,999,X,4,0
A880,2015-10-01,2026-12-31,0,999,0,999,X,4,0
A888,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A89,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A922,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A9230,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A9231,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A9232,2015-10-01,2026-12-31,0,999,0,999,X,3,0
A9239,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B003,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B004,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B007,2015-10-01,2026-12-31,0,999,0,999,X,2,0
B0082,2015-10-01,2026-12-31,0,999,0,999,X,110,0
B010,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B0111,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B0112,2015-10-01,2026-12-31,0,999,0,999,X,110,0
B020,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B021,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B0224,2015-10-01,2026-12-31,0,999,0,999,X,110,0
B050,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B051,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B0601,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B0602,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B0682,2015-10-01,2026-12-31,0,999,0,999,X,55,0
B1001,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B1009,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B20,2015-10-01,2026-12-31,0,999,0,999,X,1,0
B250,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B251,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B252,2015-10-01,2026-12-31,0,999,0,999,X,6,47
B258,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B259,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B261,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B262,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B263,2015-10-01,2026-12-31,0,999,0,999,X,47,0
B2682,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B2685,2015-10-01,2026-12-31,0,999,0,999,X,55,0
B2702,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B2712,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B2782,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B2792,2015-10-01,2026-12-31,0,999,0,999,X,4,0
B3320,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B3321,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B3322,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B3323,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B3324,2015-10-01,2026-12-31,0,999,0,999,X,130,0
B371,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B375,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B376,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B377,2015-10-01,2026-12-31,0,999,0,999,X,2,6
B3781,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B380,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B381,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B382,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B384,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B390,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B391,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B392,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B400,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B401,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B402,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B4081,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B410,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B4281,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B4282,2015-10-01,2026-12-31,0,999,0,999,X,55,0
B431,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B440,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B441,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B442,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B447,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B4481,2015-10-01,2026-12-31,0,999,0,999,X,162,0
B4489,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B449,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B450,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B451,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B452,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B453,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B457,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B458,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B459,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B460,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B461,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B462,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B463,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B464,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B465,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B468,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B469,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B484,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B488,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B5741,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B5742,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B582,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B583,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B5881,2015-10-01,2026-12-31,0,999,0,999,X,135,0
B59,2015-10-01,2026-12-31,0,999,0,999,X,6,0
B6011,2015-10-01,2026-12-31,0,999,0,999,X,3,0
B664,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B671,2015-10-01,2026-12-31,0,999,0,999,X,163,0
B9735,2015-10-01,2026-12-31,0,999,0,999,X,1,0
C01,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C020,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C021,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C022,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C023,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C024,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C028,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C029,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C030,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C031,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C039,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C040,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C041,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C048,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C049,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C050,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C051,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C052,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C058,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C059,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C060,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C061,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C062,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C0680,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C0689,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C069,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C07,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C080,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C081,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C089,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C090,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C091,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C098,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C099,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C100,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C101,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C102,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C103,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C104,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C108,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C109,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C110,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C111,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C112,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C113,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C118,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C119,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C12,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C130,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C131,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C132,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C138,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C139,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C140,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C142,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C148,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C153,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C154,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C155,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C158,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C159,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C160,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C161,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C162,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C163,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C164,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C165,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C166,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C168,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C169,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C170,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C171,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C172,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C173,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C178,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C179,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C180,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C181,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C182,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C183,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C184,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C185,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C186,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C187,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C188,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C189,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C19,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C20,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C210,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C211,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C212,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C218,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C220,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C221,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C222,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C223,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C224,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C227,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C228,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C229,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C23,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C240,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C241,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C248,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C249,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C250,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C251,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C252,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C253,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C254,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C257,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C258,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C259,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C260,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C261,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C269,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C300,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C301,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C310,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C311,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C312,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C313,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C318,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C319,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C320,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C321,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C322,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C323,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C328,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C329,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C33,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3400,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3401,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3402,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3410,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3411,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3412,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C342,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3430,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3431,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3432,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3480,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3481,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3482,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3490,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3491,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C3492,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C37,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C380,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C381,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C382,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C383,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C384,2015-10-01,2026-12-31,0,999,0,999,X,9,0
C388,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C390,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C399,2015-10-01,2026-12-31,0,999,0,999,X,11,0
C4000,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4001,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4002,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4010,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4011,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4012,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4020,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4021,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4022,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4030,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4031,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4032,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4080,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4081,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4082,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4090,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4091,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C4092,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C410,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C411,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C412,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C413,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C414,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C419,2015-10-01,2026-12-31,0,999,0,999,X,10,0
C430,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4310,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4320,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4321,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4322,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4330,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4331,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4339,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C434,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4351,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4352,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4359,2015-10-01,2026-12-31,0,999,0,999,X,13,0
C4360,2015-10-01,2026-12-31,0,999,0,999,X,13,0
